mse,coverage_80,coverage_95
0.4099534093733933,1.0,1.0
0.03999060116238548,1.0,1.0
0.014523476923906127,1.0,1.0
0.021635445574075585,0.875,0.96875
0.01635645666788611,0.8125,0.84375
0.01109770167583973,0.78125,0.9375
0.011818471525788974,0.78125,0.84375
0.012764386555437632,0.59375,0.875
0.01564790835923943,0.65625,0.84375
0.01082125240005891,0.6875,0.84375
0.00847239043675146,0.78125,0.9375
0.010801992106694422,0.71875,0.90625
0.007374711215975623,0.875,0.9375
0.007413014713120161,0.8125,0.9375
0.009559013034276333,0.75,1.0
0.008768818445198844,0.875,0.9375
0.01069747316683331,0.78125,0.9375
0.00988932967687341,0.75,0.90625
0.010997447753773499,0.71875,0.90625
0.010083703004791937,0.8125,0.9375
0.007946977952130084,0.8125,0.9375
0.007763305312731941,0.90625,0.96875
0.013175579161719485,0.71875,0.90625
0.011358385107092972,0.84375,0.90625
0.014983256357699296,0.75,0.84375
0.012284993587001187,0.78125,0.9375
0.01011899466195903,0.84375,0.96875
0.014196713568267294,0.65625,0.9375
0.013663034041381663,0.75,0.90625
0.007848995366621592,0.78125,0.96875
0.007398386033990282,0.875,0.96875
0.010702954426470531,0.625,0.90625
0.012782112260258157,0.75,0.875
0.0177004179764992,0.625,0.8125
0.009502234497781148,0.8125,1.0
0.010936962133098282,0.75,0.90625
0.010969800910954746,0.75,0.90625
0.014051549476363997,0.75,0.90625
0.016224936308693125,0.71875,0.75
0.014691201676803722,0.75,0.90625
0.013066407270143948,0.75,0.90625
0.016860166008563732,0.59375,0.8125
0.013584340858502587,0.625,0.90625
0.014822149593343352,0.6875,0.875
0.00921484872949474,0.84375,0.90625
0.009850710758104557,0.8125,0.90625
0.009002909005447018,0.84375,0.9375
0.017008408466877695,0.625,0.875
0.010196231281306319,0.84375,0.9375
0.011286218445888873,0.78125,0.9375
0.01833423050200323,0.65625,0.875
0.010179935774702964,0.71875,0.9375
0.013133425330941719,0.78125,0.84375
0.013680051686664207,0.6875,0.9375
0.00923232059584677,0.8125,0.9375
0.006833692422037155,0.84375,0.9375
0.007838460470988094,0.6875,0.9375
0.009094582932739183,0.75,0.90625
0.009953001028895531,0.75,0.9375
0.008591334248840525,0.84375,0.9375
0.00779491800696264,0.8125,1.0
0.007437877780785997,0.875,0.96875
0.010149485427286905,0.8125,0.875
0.015174572773688576,0.59375,0.9375
0.019983053489968216,0.6875,0.78125
0.02339210777760417,0.625,0.84375
0.019763044238431726,0.59375,0.875
0.005280339080234666,0.84375,1.0
0.010451440537951613,0.78125,0.96875
0.017764593672707815,0.65625,0.8125
0.01025001954198778,0.75,0.8125
0.014140802267184015,0.71875,0.78125
0.013384142452720436,0.625,0.90625
0.007946780314034329,0.8125,0.96875
0.00906342052164639,0.71875,0.9375
0.008332483631177678,0.75,0.90625
0.014573399332494415,0.6875,0.90625
0.011400050937838649,0.8125,0.9375
0.00937765115497768,0.8125,0.9375
0.01405073211122869,0.6875,0.875
0.014039372731709271,0.625,0.78125
0.015784630291374793,0.625,0.78125
0.007288454537003901,0.8125,0.96875
0.007495317668045239,0.84375,0.96875
0.016021038713587815,0.53125,0.8125
0.014882951666680994,0.625,0.75
0.009241748210864778,0.75,0.9375
0.013933429410865918,0.625,0.9375
0.005304034648996019,0.78125,1.0
0.019587683639489782,0.5625,0.78125
0.009508627267043192,0.75,0.875
0.009181323159736281,0.78125,0.90625
0.011461150657218123,0.71875,0.90625
0.009249944117178357,0.78125,0.90625
0.016697563645501103,0.625,0.84375
0.010236796777035116,0.6875,0.875
0.014963103908876545,0.65625,0.84375
0.0104136346878277,0.75,0.90625
0.00901415566231494,0.71875,0.90625
0.016545127537489292,0.53125,0.84375
0.01057758767807824,0.75,0.90625
0.018753843792231266,0.59375,0.71875
0.015788766696867407,0.46875,0.71875
0.009383334984759833,0.8125,0.90625
0.008802152105964094,0.78125,0.90625
0.012101849494322695,0.6875,0.8125
0.018450936086805772,0.65625,0.71875
0.006676617473017054,0.78125,1.0
0.007277026871680626,0.71875,0.875
0.009969325268674797,0.625,0.84375
0.016198373926557416,0.5,0.84375
0.011681937040570292,0.65625,0.875
0.006709725815671893,0.78125,0.96875
0.006891536371578776,0.78125,0.96875
0.01383047905004801,0.6875,0.84375
0.011416130660594154,0.6875,0.84375
0.011357428387038659,0.6875,0.84375
0.01829892669443834,0.46875,0.75
0.014662982703006176,0.5625,0.71875
0.008278529672197705,0.8125,0.90625
